Price,Close,High,Low,Open,Volume
Ticker,XLF,XLF,XLF,XLF,XLF
Date,,,,,
1998-12-22,11.297130584716797,11.365277078646175,11.24412826179572,11.365277078646175,55887
1998-12-23,11.463704109191895,11.463704109191895,11.25169380301445,11.25169380301445,78784
1998-12-24,11.539421081542969,11.539421081542969,11.425844420441297,11.463703686742948,43824
1998-12-28,11.387984275817871,11.531846959127524,11.35769595789616,11.531846959127524,51948
1998-12-29,11.509140014648438,11.50914001464844,11.266841288140807,11.403134250688614,100819
1998-12-30,11.463704109191895,11.524278482385448,11.387986711601611,11.448559946991844,154614
1998-12-31,11.357696533203125,11.478845259814257,11.357696533203125,11.463702237889434,65366
1999-01-04,11.357696533203125,11.546991702983803,11.221404784667168,11.221404784667168,250632
1999-01-05,11.463704109191895,11.478847133588623,11.312268176208006,11.312268176208006,47763
1999-01-06,11.827149391174316,11.842293552148739,11.59999607898381,11.675713470446237,129871
1999-01-07,12.008869171142578,12.008869171142578,11.67571023778279,11.70599741354277,89986
1999-01-08,12.084590911865234,12.1451664230944,11.955871221687817,12.1451664230944,173694
1999-01-11,11.902871131896973,12.099737313057389,11.7892933073546,12.099737313057389,62904
1999-01-12,11.569708824157715,11.842294644413219,11.569708824157715,11.842294644413219,117437
1999-01-13,11.418270111083984,11.569706008931131,11.00939375579822,11.00939375579822,359206
1999-01-14,11.13054370880127,11.471274801205846,11.024537999647391,11.387985332601273,59950
1999-01-15,11.448561668395996,11.448561668395996,11.228980385905638,11.281982685968588,96757
1999-01-19,11.387984275817871,11.630280578963847,11.236547237421634,11.630280578963847,54903
1999-01-20,11.471270561218262,11.652993591625515,11.40312414036485,11.50912981033713,76445
1999-01-21,11.266836166381836,11.425844171136692,11.236548981562018,11.372841882152825,438482
1999-01-22,11.191120147705078,11.266837550152456,11.130545770625819,11.206263173073197,109928
1999-01-25,11.281978607177734,11.297121628376686,11.115398547170775,11.251691426976748,169632
1999-01-26,11.289549827575684,11.350125327276135,11.206260364417616,11.3274090882123,118053
1999-01-27,11.145689010620117,11.357699334480087,11.145689010620117,11.357699334480087,56872
1999-01-28,11.312267303466797,11.327410326695242,11.115400036874389,11.115400036874389,47270
1999-01-29,11.554560661315918,11.569703679149766,11.221401753140121,11.380409698311095,72998
1999-02-01,11.357696533203125,11.599995124228526,11.357696533203125,11.599995124228526,59827
1999-02-02,11.236550331115723,11.327411896488004,11.122973658851217,11.26683751957315,107220
1999-02-03,11.319842338562012,11.403132978741247,11.092688943391552,11.175978445767145,69675
1999-02-04,11.054821968078613,11.297119361057684,11.054821968078613,11.236545012812917,48625
1999-02-05,10.963966369628906,11.085115131576071,10.88824896231366,11.032112832675054,103035
1999-02-08,10.933675765991211,11.054824490119543,10.85795838231256,11.039681468505057,137749
1999-02-09,10.78223991394043,10.96396300102803,10.70652252988882,10.933675819846764,264050
1999-02-10,10.873103141784668,10.873103141784666,10.691380026547206,10.812528770038847,31883
1999-02-11,11.312267303466797,11.327410326695242,10.918533908085214,10.918533908085214,81000
1999-02-12,11.145689010620117,11.312269119697515,11.024540254128706,11.251694741451809,106974
1999-02-16,11.312267303466797,11.387985833018718,11.236548773914876,11.259265015462391,463102
1999-02-17,11.357696533203125,11.584850964500566,11.251691966319951,11.357696533203125,501140
1999-02-18,11.471270561218262,11.539415844268909,11.327405642127113,11.41826715733074,69428
1999-02-19,11.509140014648438,11.721150404764316,11.486423762354622,11.554570243628527,76322
1999-02-22,11.842290878295898,11.925580331439736,11.599993459838936,11.599993459838936,89617
1999-02-23,11.99372673034668,12.039158069388133,11.827147808735198,11.925581428489116,121623
1999-02-24,11.599991798400879,12.054299392938333,11.554560470045729,12.039155237552347,251986
1999-02-25,11.524282455444336,11.584856849521243,11.281984879136713,11.433420864328978,173448
1999-02-26,11.736286163330078,11.766573343152062,11.47127362433847,11.524275904576179,116822
1999-03-01,11.781707763671875,11.864998300733651,11.645416122865555,11.690847428335818,211486
1999-03-02,11.812009811401367,11.9785888038612,11.73629126006249,11.872583059547484,91463
1999-03-03,11.69842529296875,11.88772042523678,11.637850941667214,11.872576268509942,57365
1999-03-04,11.963438987731934,11.993726166401105,11.736285716614656,11.736285716614656,50348
1999-03-05,12.266308784484863,12.417743501413907,12.099728775378543,12.417743501413907,498432
1999-03-08,12.183022499084473,12.296599135050947,12.12244700372559,12.26631195627302,133564
1999-03-09,12.281455993652344,12.395033776825969,12.11487706548269,12.205737471536596,105374
1999-03-10,12.508611679077148,12.5161837596102,12.296601388774366,12.395035022294325,91217
1999-03-11,12.56919002532959,12.70548182903868,12.448041249675468,12.53890283141606,210993
1999-03-12,12.59189510345459,12.690328689695418,12.493461517213763,12.614610196340108,183911
1999-03-15,12.629761695861816,12.690336070656292,12.523755971069805,12.599474508464578,82969
1999-03-16,12.448034286499023,12.750906056214042,12.448034286499025,12.750906056214042,188466
1999-03-17,12.342032432556152,12.387463781029263,12.22088368703228,12.387463781029263,161261
1999-03-18,12.629761695861816,12.629761695861816,12.25117128449466,12.25117128449466,199422
1999-03-19,12.38997745513916,12.66328568069457,12.374793094418779,12.66328568069457,244723
1999-03-22,12.420344352722168,12.465895150731338,12.31405725599505,12.359609194827652,427280
1999-03-23,11.995196342468262,12.298873253418156,11.964829906278966,12.253321317487497,288793
1999-03-24,11.964824676513672,12.086294931470242,11.904088408212525,12.025558663169097,144396
1999-03-25,12.238138198852539,12.389977240127406,12.116667878491427,12.389977240127406,77184
1999-03-26,12.131860733032227,12.238146767352292,12.078717715872193,12.1546361488402,65120
1999-03-29,12.405158042907715,12.450708833756893,12.28368774621223,12.314055320386101,75583
1999-03-30,12.260918617248535,12.344429203702484,12.200183437859511,12.314061614007972,141565
1999-03-31,12.116669654846191,12.359611472008185,12.071118848444572,12.268508718381304,112637
1999-04-01,12.147035598754883,12.162218817137518,12.025564147576887,12.086300443577576,52933
1999-04-05,12.38997745513916,12.435528255653315,12.222955191332442,12.314057933184245,92941
1999-04-06,12.29887866973877,12.503859619640192,12.253326713747418,12.359613850511328,142427
1999-04-07,12.632917404174805,12.693652562063656,12.405159991679897,12.412752171621861,324738
1999-04-08,12.860675811767578,12.891044536579122,12.72402225423374,12.754389838221663,194498
1999-04-09,12.830306053161621,12.906225570675582,12.693652518789293,12.815122834152888,151167
1999-04-12,13.058063507080078,13.07324672613788,12.739203357808462,12.754387717689697,193759
1999-04-13,13.042882919311523,13.20990522219222,13.01251533158992,13.20990522219222,209516
1999-04-14,12.875853538513184,13.225081144809232,12.875853538513182,13.118794085215466,160646
1999-04-15,12.75438404083252,13.422470584894144,12.67846454495942,12.951772676620994,124577
1999-04-16,12.693653106689453,12.815123427678884,12.587366005411962,12.815123427678884,125070
1999-04-19,12.693653106689453,13.1339824498644,12.693653106689453,12.929001568400606,149443
1999-04-20,12.860675811767578,13.301006350004256,12.754389838221663,12.769573059803813,67213
1999-04-21,13.058063507080078,13.058063507080078,12.860673673564614,12.87585803344585,85185
1999-04-22,13.19471549987793,13.19471549987793,13.027694405644056,13.027694405644056,74476
1999-04-23,13.149168014526367,13.270638346639364,13.058065265441618,13.270638346639364,159045
1999-04-26,12.951778411865234,13.16435149728816,12.89104438542515,13.16435149728816,184404
1999-04-27,13.179530143737793,13.232673106840263,12.95177279486232,13.065652039711614,72998
1999-04-28,13.103617668151855,13.255454447773717,13.0276981375173,13.194719279595523,189328
1999-04-29,13.149168014526367,13.301005929667614,13.088432848469868,13.103617210395784,104512
1999-04-30,12.966957092285156,13.209897654889236,12.739199744432279,13.149162514238217,417801
1999-05-03,13.118803024291992,13.118803024291992,12.860677947124364,12.921413125184532,257895
1999-05-04,12.708837509155273,13.088432867986205,12.708837509155273,13.027697701839143,368685
1999-05-05,12.78475570678711,12.815123286700393,12.541815067480824,12.724020546960537,267373
1999-05-06,12.572186470031738,12.769575229073423,12.511451291738327,12.648104872486597,211486
1999-05-07,12.8151216506958,12.891041161198709,12.708834564156394,12.739202140192893,787963
1999-05-10,12.769573211669922,12.951778717764387,12.739205627320842,12.90622791165259,53918
1999-05-11,12.921409606933594,13.088431871534022,12.860674445410439,12.875858806202979,70536
1999-05-12,13.103617668151855,13.118800889784591,12.73920551825906,12.891044579528174,51087
1999-05-13,13.225083351135254,13.255449783716005,13.111204095252933,13.118796273809734,61181
1999-05-14,12.8151216506958,12.982142748484883,12.663283770513306,12.906224378805298,197083
1999-05-17,12.572186470031738,12.70884005078001,12.435531748459653,12.632921648325151,235613
1999-05-18,12.602551460266113,12.769572595717804,12.405161601106572,12.663286626034651,166062
1999-05-19,12.693653106689453,12.693653106689453,12.526630844917246,12.632917946194738,85924
1999-05-20,12.526637077331543,12.76957784018143,12.526637077331543,12.678475054112722,180465
1999-05-21,12.496261596679688,12.572181107576153,12.397566688843616,12.49626159667969,95772
1999-05-24,12.222951889038086,12.374789751102147,12.086298383592025,12.314054606276523,534870
1999-05-25,11.90408992767334,12.222949958045675,11.904089927673342,12.147031609418885,105497
1999-05-26,12.29128360748291,12.291283607482912,11.8433620394249,11.964832372513417,236106
1999-05-27,11.995196342468262,12.184993984003185,11.942053367901957,12.184993984003185,53549
1999-05-28,12.185001373291016,12.222961152782428,12.002795800721104,12.08630754376702,47394
1999-06-01,12.010381698608398,12.177403956457534,11.873728161116793,12.116667656565932,256417
1999-06-02,11.934463500976562,12.025565100135402,11.737073660603155,11.94964672056188,126178
1999-06-03,11.926871299743652,12.08630137963747,11.888911539612083,12.08630137963747,87155
1999-06-04,12.147035598754883,12.192586394726172,11.995196569988234,12.071116084371559,91340
1999-06-07,12.374794006347656,12.389978368187009,12.177405288201106,12.22295609207201,60319
1999-06-08,12.154627799987793,12.344425463274732,12.154627799987795,12.344425463274732,233767
1999-06-09,12.124259948730469,12.306466568442662,12.078709149420018,12.192587288519608,41977
1999-06-10,11.896500587463379,11.980011125105795,11.812988908997795,11.980011125105795,121623
1999-06-11,11.91927719116211,12.086299424224817,11.828174466079709,11.91927719116211,100942
1999-06-14,11.858541488647461,11.964828566703588,11.812989557816769,11.964828566703588,35207
1999-06-15,11.91927719116211,12.010379916244508,11.873726399032552,11.934461549087485,152890
1999-06-16,12.23054027557373,12.336826175655693,12.192580536620387,12.207764888530857,228966
1999-06-17,12.465893745422363,12.511445679119793,12.207769923881283,12.283688292279258,192898
1999-06-18,12.48526668548584,12.515719691069476,12.386298993297794,12.393912244693702,66351
1999-06-21,12.56139850616455,12.57662501088941,12.424365683590015,12.530946640704673,157568
1999-06-22,12.424361228942871,12.561394002385494,12.424361228942871,12.546168647109392,89001
1999-06-23,12.302552223205566,12.424359625653572,12.180744820757562,12.424359625653572,49117
1999-06-24,12.10461711883545,12.256876403299248,11.959971084592217,12.256876403299248,68444
1999-06-25,12.135064125061035,12.211194308856689,12.104612280340584,12.18074246413624,95156
